eventID,occurrenceID,measurementType,measurementTypeID,measurementValue,measurementValueID,measurementAccuracy,measurementUnit,measurementUnitID,measurementDeterminedDate,measurementDeterminedBy,measurementMethod,measurementRemarks
20120611UNDm1_200,,multinet,http://vocab.nerc.ac.uk/collection/L05/current/68/,Hydro-bios 5-net,,,,,,,,
20120611UNDm1_335,,multinet,http://vocab.nerc.ac.uk/collection/L05/current/68/,Hydro-bios 5-net,,,,,,,,
20120611UNDm2_200,,multinet,http://vocab.nerc.ac.uk/collection/L05/current/68/,Hydro-bios 5-net,,,,,,,,
20120611UNDm2_335,,multinet,http://vocab.nerc.ac.uk/collection/L05/current/68/,Hydro-bios 5-net,,,,,,,,
20120611UNDm3_200,,multinet,http://vocab.nerc.ac.uk/collection/L05/current/68/,Hydro-bios 5-net,,,,,,,,
20120611UNDm3_335,,multinet,http://vocab.nerc.ac.uk/collection/L05/current/68/,Hydro-bios 5-net,,,,,,,,
20120611UNDm4_200,,multinet,http://vocab.nerc.ac.uk/collection/L05/current/68/,Hydro-bios 5-net,,,,,,,,
20120611UNNm1_200,,multinet,http://vocab.nerc.ac.uk/collection/L05/current/68/,Hydro-bios 5-net,,,,,,,,
20120611UNNm1_335,,multinet,http://vocab.nerc.ac.uk/collection/L05/current/68/,Hydro-bios 5-net,,,,,,,,
20120611UNNm2_200,,multinet,http://vocab.nerc.ac.uk/collection/L05/current/68/,Hydro-bios 5-net,,,,,,,,
20120611UNNm2_335,,multinet,http://vocab.nerc.ac.uk/collection/L05/current/68/,Hydro-bios 5-net,,,,,,,,
20120611UNNm3_200,,multinet,http://vocab.nerc.ac.uk/collection/L05/current/68/,Hydro-bios 5-net,,,,,,,,
20120611UNNm3_335,,multinet,http://vocab.nerc.ac.uk/collection/L05/current/68/,Hydro-bios 5-net,,,,,,,,
20120612HPDm5_335,,multinet,http://vocab.nerc.ac.uk/collection/L05/current/68/,Hydro-bios 5-net,,,,,,,,
20120612HPNm0_335,,multinet,http://vocab.nerc.ac.uk/collection/L05/current/68/,Hydro-bios 5-net,,,,,,,,
20120613DUDm1_200,,multinet,http://vocab.nerc.ac.uk/collection/L05/current/68/,Hydro-bios 5-net,,,,,,,,
20120613HPBNm1_200,,multinet,http://vocab.nerc.ac.uk/collection/L05/current/68/,Hydro-bios 5-net,,,,,,,,
20120614DBDm1_200,,multinet,http://vocab.nerc.ac.uk/collection/L05/current/68/,Hydro-bios 5-net,,,,,,,,
20120614DBDm2_200,,multinet,http://vocab.nerc.ac.uk/collection/L05/current/68/,Hydro-bios 5-net,,,,,,,,
20120614DBDm2_335,,multinet,http://vocab.nerc.ac.uk/collection/L05/current/68/,Hydro-bios 5-net,,,,,,,,
20120614DBDm3_200,,multinet,http://vocab.nerc.ac.uk/collection/L05/current/68/,Hydro-bios 5-net,,,,,,,,
20120614DBDm3_335,,multinet,http://vocab.nerc.ac.uk/collection/L05/current/68/,Hydro-bios 5-net,,,,,,,,
